date,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2017-08-17,795.150377,3454770.05073206,3427.0,616.248541,2678216.40060401
2017-08-18,1199.888264,5086958.30617151,5233.0,972.86871,4129123.31651808
2017-08-19,381.309763,1549483.73542151,2153.0,274.336042,1118001.87008735
2017-08-20,467.083022,1930364.39032646,2321.0,376.795947,1557401.3337373
2017-08-21,691.74306,2797231.71402728,3972.0,557.356107,2255662.55315837
2017-08-22,966.684858,3752505.77214051,6494.0,423.995181,1637188.36934226
2017-08-23,1001.136565,4148686.46581968,8629.0,309.419092,1293567.09519463
2017-08-24,787.418753,3296476.41316476,6247.0,206.820412,868379.0641312
2017-08-25,573.61274,2484637.34936327,6554.0,100.097974,434577.13574645
2017-08-26,228.108068,977865.7333321,2260.0,56.190141,241363.80050245
2017-08-27,350.692585,1521580.06202557,3670.0,101.651358,442442.17937215
2017-08-28,603.841616,2591660.52579953,4349.0,142.787782,612364.20611134
2017-08-29,603.545028,2682483.73582991,4159.0,143.442567,641982.02068658
2017-08-30,808.468771,3683714.68666123,5551.0,196.062252,894620.23750883
2017-08-31,556.956802,2579878.72401184,4161.0,131.947325,614342.53390234
2017-09-01,560.666366,2665165.55924616,4000.0,118.660103,566254.43089734
2017-09-02,929.148595,4257723.944817,7475.0,379.199863,1738334.08541735
2017-09-03,691.216198,3121052.75230181,6022.0,258.934536,1169644.69159694
2017-09-04,1394.644614,5909947.49008974,9317.0,578.600851,2460362.61291664
2017-09-05,1228.938157,5083453.18675071,10084.0,533.476065,2214297.83961246
2017-09-06,807.363726,3626346.05544323,7956.0,422.923063,1903231.7409154
2017-09-07,500.429975,2305795.13638315,3070.0,240.683949,1111299.24357466
2017-09-08,1132.255046,4866527.22639337,4733.0,465.962119,2004277.28941755
2017-09-09,658.782952,2815383.46568698,3777.0,287.989805,1233627.00774409
2017-09-10,660.373275,2700371.80819211,3435.0,291.786887,1193884.03650449
2017-09-11,699.989065,2956842.76250147,4228.0,322.19833,1361869.71324406
2017-09-12,879.630319,3725190.62328952,6501.0,451.78067,1911015.26637066
2017-09-13,913.462545,3570365.92571669,5019.0,363.053413,1425986.44091325
2017-09-14,1665.021543,5914261.40460825,9066.0,761.153976,2711572.43635069
2017-09-15,1968.866492,6588767.18669446,10445.0,966.122245,3236325.66838306
2017-09-16,1297.563953,4804878.24721283,8809.0,624.887842,2314536.03271908
2017-09-17,682.17121,2466490.27859466,6355.0,273.931976,994843.63045949
2017-09-18,1030.006455,4069033.05715863,8220.0,417.638722,1651863.37125876
2017-09-19,902.332129,3558315.19743872,7342.0,257.320352,1016803.88177532
2017-09-20,720.935076,2839584.45308804,7231.0,395.275138,1562210.14983916
2017-09-21,1001.654084,3757043.07821264,8714.0,517.258926,1946238.63873747
2017-09-22,838.966425,3031771.43292849,8152.0,511.059869,1848104.61254174
2017-09-23,752.792791,2799706.99951511,8402.0,431.94671,1608679.14327472
2017-09-24,661.63639,2445788.43620041,8724.0,290.93917,1077964.32638088
2017-09-25,727.994713,2784170.85318322,9740.0,298.839159,1144089.17964881
2017-09-26,526.727987,2061195.57868009,7971.0,225.570283,883925.0185633
2017-09-27,628.170966,2554629.81447101,8373.0,348.083641,1418522.03112125
2017-09-28,849.785325,3553178.87037354,11426.0,364.517452,1525467.35780567
2017-09-29,1602.309565,6571746.35900076,14834.0,660.408235,2706153.81551434
2017-09-30,720.353183,3088354.40084536,9324.0,292.966693,1258540.22252994
2017-10-01,726.963685,3137143.89184457,9816.0,291.975904,1263465.86667018
2017-10-02,655.756974,2905282.77570845,8185.0,289.541406,1286786.89051625
2017-10-03,1082.323563,4627422.74283879,12379.0,492.735181,2107462.11039911
2017-10-04,868.465101,3676415.10054891,11006.0,292.928777,1237552.36930596
2017-10-05,779.138638,3295532.82397779,9158.0,351.042019,1483036.83360606
2017-10-06,506.529176,2212035.12414239,6546.0,226.148177,988106.60264063
2017-10-07,297.5975,1302533.21459281,4804.0,145.313076,637146.85809303
2017-10-08,518.462004,2347356.46944654,7580.0,280.094854,1268660.82999198
2017-10-09,646.463145,3040508.90436387,10372.0,350.756559,1654274.63749423
2017-10-10,1043.221773,5044283.86347582,11967.0,678.832674,3289613.76073974
2017-10-11,753.429396,3609240.90903919,5895.0,540.087975,2586977.71897445
2017-10-12,1276.701482,6659759.29119366,8030.0,796.594719,4149667.59915114
2017-10-13,1879.82762,10597340.30104987,11663.0,878.638077,4945786.36371635
2017-10-14,970.759046,5533972.4859947,6259.0,433.794904,2472775.20446234
2017-10-15,1343.523375,7553650.20132813,7452.0,601.422361,3384776.70651666
2017-10-16,1528.996462,8701914.79553535,9153.0,719.218538,4096285.84717841
2017-10-17,1429.869376,8041662.31881055,9755.0,688.766779,3874630.11789208
2017-10-18,2317.804373,12456909.97604373,14824.0,1039.622475,5582555.96464678
2017-10-19,1881.722107,10609368.77338359,11553.0,866.172234,4889254.26776489
2017-10-20,1972.97722,11486552.1888066,11656.0,833.037457,4827682.43818362
2017-10-21,1664.307693,10114821.44026351,10182.0,796.022575,4842552.09005084
2017-10-22,1362.092216,8035415.37335629,8846.0,559.072342,3298113.25431534
2017-10-23,1812.557715,10607190.98072695,10736.0,733.791079,4292971.67402233
2017-10-24,2580.418767,14564495.85056032,13075.0,1128.826117,6369508.22114772
2017-10-25,2282.813205,12544847.89154201,12026.0,1102.091326,6072831.20164732
2017-10-26,1972.965882,11417126.63602561,11429.0,779.739997,4524676.60186949
2017-10-27,1403.706416,8167069.73635031,8305.0,624.087409,3639525.74476665
2017-10-28,1276.754412,7308076.01911184,8556.0,522.437128,2992463.28829385
2017-10-29,1804.778173,10620967.62459168,10651.0,954.170196,5607341.71306722
2017-10-30,1473.687043,9030219.28673499,9027.0,568.13297,3484470.96871416
2017-10-31,1511.774925,9487640.8400991,12503.0,666.763568,4189144.86604943
2017-11-01,1675.615188,10951171.07254041,16775.0,681.762424,4456444.95893702
2017-11-02,2503.610803,17369001.33091877,20222.0,1152.043042,8002005.80575711
2017-11-03,1891.497592,13614451.74654126,15375.0,790.186344,5689002.21482195
2017-11-04,1399.191767,10064538.39659038,13395.0,638.387268,4597312.95311455
2017-11-05,1207.83233,9000403.86573288,11090.0,540.675195,4027338.87761942
2017-11-06,1763.019261,12673524.6216398,13525.0,730.003787,5258426.96569148
2017-11-07,1440.259494,10173272.33780804,13132.0,591.187992,4181187.39303234
2017-11-08,2822.298802,20491286.19840822,24381.0,1291.344472,9394534.42380506
2017-11-09,1913.398308,13798534.34721742,13818.0,724.154878,5221300.62862515
2017-11-10,3254.704105,22083345.18396158,18889.0,1565.261439,10594456.21115611
2017-11-11,2754.156861,17681445.46474999,17840.0,1127.476148,7260382.61767693
2017-11-12,4968.483069,29711508.60084671,31069.0,2267.410744,13607604.41635319
2017-11-13,2621.243039,16498136.09913936,16165.0,1299.996919,8190123.54546063
2017-11-14,1254.292531,8168729.97122799,10476.0,612.136202,3991112.7307127
2017-11-15,1779.605845,12446186.45092821,10313.0,958.59199,6705958.0325874
2017-11-16,2331.95675,17499577.25815967,14961.0,1196.410717,8973214.5702364
2017-11-17,3982.395925,31024092.61951179,22012.0,1910.208237,14893068.96849563
2017-11-18,3954.266477,30334498.31525712,18383.0,1891.340324,14512569.88845333
2017-11-19,3867.340444,30322635.7689457,14897.0,2097.613346,16448877.84771707
2017-11-20,3886.634348,31567135.38731295,20101.0,1816.366339,14741452.72913412
2017-11-21,4544.474016,37074997.58090905,20798.0,2222.291215,18131894.11366924
2017-11-22,3545.00571,29124078.47217724,14752.0,1823.860374,14992767.17647145
2017-11-23,4093.952687,33400702.99957629,16625.0,2163.755131,17665030.24869222
2017-11-24,4411.789112,35840264.45804051,19754.0,2166.425275,17613353.73937526
2017-11-25,4292.623682,36093005.20140187,18632.0,2294.9233,19306904.20494265
2017-11-26,4147.380237,37138533.83941873,19268.0,2035.291755,18226481.88953511
2017-11-27,4521.625707,42961064.95202934,22806.0,2433.447575,23145323.64948013
2017-11-28,4917.210985,48235644.0576554,18923.0,2431.138502,23851135.77284698
2017-11-29,13352.538715,135976167.45757934,47894.0,8662.632362,88423971.28943045
2017-11-30,9389.574329,91430904.34116387,41153.0,5360.660242,52384338.03597776
2017-12-01,6134.923633,62260697.58291551,32375.0,3269.868588,33193672.16592109
2017-12-02,4765.439757,52046689.84006951,29694.0,2390.194275,26111051.97904352
2017-12-03,5346.636524,60350708.29332783,39335.0,2574.246187,29090180.16290429
2017-12-04,4663.424562,52814985.63993067,32232.0,2516.855031,28512751.47162289
2017-12-05,5550.732055,64721253.04527842,31317.0,3135.630565,36570499.65542363
2017-12-06,6707.946319,84409526.69576178,40196.0,3830.098381,48223185.56586906
2017-12-07,7487.065695,109555325.34649764,57541.0,3931.041376,57501459.77355417
2017-12-08,17589.013136,271586476.6191431,84727.0,11950.291812,184080403.13797045
2017-12-09,13918.758687,205372672.98786432,66738.0,7988.323023,118308773.57971704
2017-12-10,16553.037173,233767963.46201488,80669.0,8736.869344,123176894.48606697
2017-12-11,11820.401762,193045127.9036004,71373.0,5905.234633,96386375.05815984
2017-12-12,9436.802411,155716213.09834388,76032.0,4395.051525,72561808.35535774
2017-12-13,12416.328801,196769674.3115306,83847.0,6127.957739,97124627.48575148
2017-12-14,11616.867151,186092495.1834846,86150.0,5999.075173,96150362.10506035
2017-12-15,9181.273947,159809704.04408672,85478.0,4712.5784,81924043.94046211
2017-12-16,4202.628709,76293721.36508314,51777.0,2308.847163,41958921.17812987
2017-12-17,9177.183434,175867439.47045138,84581.0,4197.960835,80497172.92855518
2017-12-18,10624.633071,196339245.74519795,91956.0,4690.302146,86666689.06405357
2017-12-19,13210.74822,232790625.92336664,116569.0,5740.506184,101134115.9201646
2017-12-20,13450.496693,221193892.5022389,129762.0,5732.664035,94404363.82531904
2017-12-21,20324.2173,320176825.29037607,117731.0,11672.760789,184537677.7923892
2017-12-22,36076.271175,477509934.7182865,243261.0,17556.682449,233435309.648319
2017-12-23,13141.538875,184759685.33206663,135005.0,6547.667326,92098774.4608775
2017-12-24,28557.534988,365709589.60302895,173557.0,15365.113545,196993097.07332075
2017-12-25,15748.207607,213139657.6289145,116416.0,8834.650938,119703848.85962638
2017-12-26,15034.668104,224843731.8965689,133133.0,8436.171298,125842113.78661472
2017-12-27,14959.864723,231229932.4820405,142202.0,7843.419761,121346099.97221792
2017-12-28,21717.858014,303401227.98652,178032.0,11431.787691,159795892.05003202
2017-12-29,18072.008116,260911629.2180768,142100.0,10502.69575,151673949.96207923
2017-12-30,19221.158039,247803953.75248587,190204.0,9530.51786,123372468.27892075
2017-12-31,11768.989718,155283285.36704132,138893.0,6085.523277,80277167.6252944
2018-01-01,8609.915844,114799747.44197056,105595.0,3961.938946,52809747.44038045
2018-01-02,20078.092111,279717107.4337192,177728.0,11346.326739,158080088.68331683
2018-01-03,15905.667639,236116868.3361901,162787.0,8994.953566,133587333.24534808
2018-01-04,21329.649574,312781583.79830784,170310.0,12680.812951,186116793.0115893
2018-01-05,23251.491125,369321956.4868375,192969.0,13346.622293,211829900.67898223
2018-01-06,18571.457508,309216920.98641044,158242.0,11007.164056,183417769.0623772
2018-01-07,12493.125558,206194706.37068352,120269.0,6779.320508,112151163.1274352
2018-01-08,26600.609912,396569997.15746266,208642.0,13756.844389,206049582.13668823
2018-01-09,14315.004253,210630187.45766863,156656.0,6841.233287,100698572.9000214
2018-01-10,17411.001655,244011366.763028,161476.0,8529.554675,119570139.8064535
2018-01-11,33554.723751,446587594.6937379,239416.0,16422.01998,218762237.37910992
2018-01-12,16417.162137,222516076.27145907,134452.0,8117.312075,110040020.181478
2018-01-13,12221.508528,173086488.54788405,123639.0,5574.178408,78958098.9463857
2018-01-14,17017.894329,226525305.1293811,152364.0,8288.382911,110381556.67259862
2018-01-15,14652.094705,200614554.538343,145362.0,7431.063272,101748315.63707082
2018-01-16,63401.169175,722150828.1494025,418243.0,30353.401717,346777069.93374634
2018-01-17,72331.796646,744154180.1312059,517293.0,35412.798137,365047291.4303791
2018-01-18,48464.434937,541289614.0584046,393112.0,23814.382845,266091805.66522688
2018-01-19,34129.375421,382773499.2265792,273271.0,16871.416355,189259676.89222243
2018-01-20,28768.857827,358561107.78097045,251647.0,14389.196005,179183657.90470728
2018-01-21,41379.773426,485289230.8188924,360207.0,20574.760061,241154449.9818349
2018-01-22,43752.606791,475716514.208697,363264.0,21300.575828,231677479.125622
2018-01-23,37473.922552,399419413.2329807,355286.0,18747.793828,199899519.2732997
2018-01-24,27158.587762,299470607.4302002,293429.0,13087.393088,144335221.62540218
2018-01-25,20839.954183,236081364.9736523,221040.0,10201.386919,115584688.24733494
2018-01-26,33056.87196,360482470.1737543,314720.0,15330.789553,167328952.39330244
2018-01-27,18860.768345,212663199.53348225,207478.0,9208.937963,103935891.79616304
2018-01-28,16887.339524,200211582.9434541,206247.0,7342.786997,87011013.8320475
2018-01-29,14170.377538,162110154.87880376,169199.0,6016.496871,68819972.52308752
2018-01-30,25554.372946,268978329.50861526,259212.0,11388.096419,119864289.07103088
2018-01-31,18015.956805,181644207.1131626,201422.0,8782.584442,88609272.64228792
2018-02-01,33564.764311,317636345.9843711,316020.0,15430.003849,146130725.8704748
2018-02-02,49971.626975,434236483.7044874,453411.0,23113.503584,201292749.5150992
2018-02-03,28725.000735,256834729.0599109,327519.0,14182.838146,127068644.49604894
2018-02-04,32014.308449,274912288.421322,356134.0,13805.29579,118884553.20936234
2018-02-05,63403.182579,471166218.7134473,533510.0,29857.35839,222022401.0169236
2018-02-06,100201.500307,684364276.3666689,785996.0,49565.020794,339117633.4088549
2018-02-07,60778.460497,477935038.81177694,514893.0,30084.836266,237137973.4531389
2018-02-08,1521.537318,11770168.04386595,12417.0,844.258813,6532638.63751892
2018-02-09,20482.910825,173348469.81187892,273091.0,10404.040792,88117562.12096503
2018-02-10,49381.512653,423411421.93098,537578.0,24506.723294,210253734.3806545
2018-02-11,45025.187952,366966437.2498885,524626.0,23180.34192,188849914.3499584
2018-02-12,41987.85049,362440826.9943769,477660.0,20916.949742,180528457.55458465
2018-02-13,35454.972956,305165143.6969234,401893.0,16558.45568,142530987.43930227
2018-02-14,40811.952867,370126692.728233,514897.0,20508.463444,185896385.02591053
2018-02-15,52427.596715,512388484.73178285,608349.0,25805.098892,252255267.8835685
2018-02-16,38161.205974,381103299.2238848,405310.0,18313.004466,182947133.88868245
2018-02-17,41882.108407,446012696.1692672,413585.0,21147.624789,225229265.7256356
2018-02-18,61137.380728,649423311.3100227,537534.0,29593.863774,314511909.4893312
2018-02-19,40831.417131,443766562.68306607,366882.0,20619.877129,224193685.4379528
2018-02-20,48153.354288,551573232.2429588,432197.0,24211.49181,277480902.0141192
2018-02-21,68113.818754,731537130.4921861,542340.0,32338.074002,347436564.666544
2018-02-22,67060.166483,682006373.869588,506273.0,33029.297624,336067441.6325065
2018-02-23,57202.70237,571800753.4709765,467480.0,28031.011368,280171693.0729712
2018-02-24,40888.156299,405618586.64803785,337918.0,18646.870961,185164883.4517175
2018-02-25,28373.517586,271286599.1260862,233567.0,13956.661533,133525539.44882146
2018-02-26,34878.292756,347559259.73845184,285276.0,17045.768706,169936003.38761607
2018-02-27,30705.385123,324295371.1414657,240542.0,15187.083738,160450471.4557678
2018-02-28,30800.983782,327914696.13067526,277886.0,14412.84633,153537202.10196504
2018-03-01,25092.55393,268172535.3811293,230428.0,12785.4045,136788817.23158327
2018-03-02,23910.71009,262936307.0078576,211691.0,11893.333632,130864918.8230748
2018-03-03,21287.15328,241749497.9024717,190444.0,10842.682784,123142920.22314858
2018-03-04,17295.918653,194849579.1250208,168359.0,8197.401595,92437014.46393472
2018-03-05,15144.231063,174866951.39806527,164318.0,7668.823714,88588986.3365785
2018-03-06,29515.572363,323842216.64859617,250306.0,13482.297196,147874120.62232068
2018-03-07,50647.67108,514808033.4879209,396721.0,24022.451231,244164771.36009568
2018-03-08,41109.473226,394641280.63843673,336514.0,20257.455838,194608716.9350392
2018-03-09,64112.291407,567082901.1319405,462712.0,31166.414848,275735446.01075995
2018-03-10,37180.012857,341210248.41481787,288066.0,17639.827276,161991786.13432977
2018-03-11,44325.973386,403491260.9275316,333367.0,21150.206944,192897625.6114657
2018-03-12,42230.77793,395562731.8650373,336642.0,19369.697756,181454623.85622355
2018-03-13,40191.409358,367353984.7132836,342734.0,19856.457047,181534440.7752947
2018-03-14,49708.094108,426058009.75594646,399127.0,22883.329725,196344166.24842268
2018-03-15,52291.022277,422130717.47310126,400529.0,26414.160251,213358245.6744019
2018-03-16,38815.409893,322355002.1651949,255807.0,20049.433993,166563494.40168038
2018-03-17,33110.206329,265973111.6176285,292041.0,15677.257361,125987772.43325073
2018-03-18,59488.231711,458311733.5188204,423336.0,28216.510794,217530802.6198248
2018-03-19,55297.084942,462654338.9821279,360414.0,27263.324764,228208487.5469021
2018-03-20,44865.105835,387879393.4706143,298261.0,22849.035238,197422831.30082303
2018-03-21,39972.405371,358157473.3612324,293696.0,19047.486799,170758402.39723507
2018-03-22,40617.556809,354804129.3433086,276449.0,19567.563618,171050710.21250018
2018-03-23,39991.007666,340755592.544531,278571.0,20106.789387,171487640.92907605
2018-03-24,35466.609572,313254829.9051367,270300.0,17302.10809,152967779.86486968
2018-03-25,29001.769316,247023172.30795503,215660.0,14379.264362,122528263.982816
2018-03-26,44033.59566,358429758.87319523,310462.0,20957.25692,170723432.32235476
2018-03-27,37427.64805,297609656.44043654,266540.0,18462.382105,146860645.03540614
2018-03-28,26401.33167,209186093.1831796,183620.0,13685.417143,108484584.61222105
2018-03-29,54620.915125,405591158.6323181,359537.0,24584.811548,182402558.2111396
2018-03-30,65306.031976,450352009.170998,400057.0,31944.390579,220453635.6071132
2018-03-31,36868.539087,258341534.47236216,240293.0,19086.033607,133763988.34700295
2018-04-01,44071.430463,297470498.81956285,260942.0,21899.30066,147951173.82212943
2018-04-02,32123.560072,224322159.41331607,206780.0,16365.683591,114292405.85810466
2018-04-03,37787.331811,277080072.7617128,248143.0,19218.850485,140892233.113676
2018-04-04,42227.183804,297443582.7461225,277249.0,20299.402203,142890978.60995668
2018-04-05,39029.73146,263446941.1321242,238476.0,18991.102712,128270766.86646058
2018-04-06,27455.01192,182139799.80865908,162456.0,13778.063462,91424043.79892384
2018-04-07,32269.578267,222323863.54144785,178577.0,16460.736226,113334533.85269152
2018-04-08,21427.673165,149967346.66268998,152461.0,11211.615946,78468498.47255658
2018-04-09,34078.297206,234309953.75033435,212669.0,17046.428596,117289580.04655164
2018-04-10,22326.728095,151417844.2663968,147755.0,11456.447936,77704393.55925176
2018-04-11,23997.871177,165264003.41270605,155607.0,12530.65891,86309556.51736282
2018-04-12,64861.595987,485176252.4893357,404588.0,33198.867785,248243486.4673706
2018-04-13,55044.523148,439884522.7119489,351905.0,27485.083044,219615109.06229925
2018-04-14,31621.286357,252868761.3206163,194500.0,16283.466045,130249061.31563611
2018-04-15,27946.720444,230287099.5843022,181778.0,14619.464101,120469031.17164706
2018-04-16,36664.069715,295817536.4749528,226748.0,17912.938455,144490340.31244087
2018-04-17,32152.603567,258221765.57371348,221228.0,15662.79502,125845498.64315926
2018-04-18,26969.04457,217649160.1101789,183472.0,14559.152289,117565317.94569089
2018-04-19,27113.847464,222675105.7884542,196821.0,13747.595928,112939221.70278835
2018-04-20,39795.337485,337288580.42571294,289687.0,21087.903673,178802594.3551453
2018-04-21,40872.229909,358915978.1040339,295374.0,21145.842391,185753264.88447425
2018-04-22,29458.25348,261804372.9093471,229871.0,14937.899116,132830238.35538778
2018-04-23,25838.114709,229754640.59668776,190944.0,13246.605059,117823053.82786416
2018-04-24,46268.790106,431210048.0625035,326608.0,24784.71044,231061865.2931042
2018-04-25,81110.037589,745137762.968867,477363.0,38824.013806,356851505.69270617
2018-04-26,43300.304245,385046648.1378661,285850.0,22640.669137,201458888.2401515
2018-04-27,37241.347036,342805674.55176014,268471.0,18517.604275,170503662.7235787
2018-04-28,34759.62842,321653866.2001887,257288.0,18251.631451,169069669.9073968
2018-04-29,38149.850035,357004895.9636863,311494.0,19364.945182,181366653.81958613
2018-04-30,35002.033875,325019389.2499412,285951.0,17461.189029,162179073.43816054
2018-05-01,41018.463633,368688349.62168455,268741.0,20050.167844,180200005.01268
2018-05-02,26123.543961,238421833.7581133,188258.0,13960.455528,127439644.78329857
2018-05-03,38768.388288,366028365.2271445,282581.0,21093.140343,199234352.40239447
2018-05-04,28681.588879,277565997.63316435,210165.0,14779.499554,143070410.02237806
2018-05-05,24990.018345,246807563.50646493,212076.0,13011.844293,128527642.99648473
2018-05-06,27690.351559,267359420.3035901,229309.0,13297.506959,128427770.52523224
2018-05-07,33787.640012,316015961.44182944,230754.0,15818.0488,147985335.4458844
2018-05-08,25533.831889,236418155.6869351,189159.0,13086.547467,121220083.42296956
2018-05-09,25673.524899,235736782.28825977,192337.0,13597.268159,124869560.73820227
2018-05-10,25055.063718,231595002.59561664,221075.0,12548.13816,116002381.57104652
2018-05-11,48227.048061,418859806.4816156,365538.0,22767.458667,197915875.7459889
2018-05-12,40241.32081,337899865.8601307,310305.0,19545.974195,164142437.4195177
2018-05-13,25632.869362,219455683.0803555,215590.0,12797.047912,109577063.5715992
2018-05-14,37389.666533,320583612.23009104,292731.0,18408.055641,157869523.76782727
2018-05-15,28126.956136,242341031.0616692,360379.0,13977.497647,120464422.6243128
2018-05-16,31130.718908,257056552.4300756,300842.0,15627.101368,129113378.7751384
2018-05-17,25439.844799,209489039.34104192,310780.0,12489.264499,103022237.7732931
2018-05-18,23476.158251,189870380.8577869,183913.0,12352.9627,99971085.72894707
2018-05-19,17193.424276,141878775.40909582,134185.0,8731.948551,72082928.16544355
2018-05-20,19957.057109,167440553.7493928,161265.0,10632.450955,89177519.97189689
2018-05-21,21516.596486,181750674.8213496,184158.0,10738.686399,90716245.79029092
2018-05-22,23710.902858,194335432.4375409,192154.0,11801.527076,96803604.56147256
2018-05-23,42910.666774,331238049.6407461,306812.0,20890.889274,161412820.79758897
2018-05-24,37845.446595,284286378.50810045,253694.0,19012.981252,142901418.78045785
2018-05-25,26739.95664,199749585.9695036,239025.0,13830.870235,103360633.04654914
2018-05-26,19464.086071,145636226.4590289,212344.0,10377.955643,77725757.25385071
2018-05-27,18706.945515,136710618.49801704,198341.0,10258.276953,74990830.63101184
2018-05-28,27219.438963,196788994.2658081,233392.0,14409.48781,104233730.17813648
2018-05-29,39407.21183,288070643.9128678,237359.0,21855.93031,159656478.1426219
2018-05-30,32041.583623,237956894.0494904,242079.0,17205.948916,127816792.77222247
2018-05-31,30776.063102,231017579.8341327,274399.0,17009.013231,127645145.71489055
2018-06-01,28259.124078,211458512.1230823,303069.0,15701.205431,117516855.67846663
2018-06-02,26720.690219,203370447.6906526,290131.0,15540.051124,118295998.95554544
2018-06-03,27505.158951,211737376.85348508,349636.0,15760.910668,121340420.79636246
2018-06-04,32258.835115,244167051.18701583,307003.0,17730.335818,134226423.79685757
2018-06-05,31722.973384,237722147.65258065,236865.0,17315.688399,129807510.9227184
2018-06-06,27229.991898,207006657.7801965,257573.0,15071.587869,114621117.15696232
2018-06-07,25062.227202,192949056.8419996,244186.0,14415.555201,110989280.27224816
2018-06-08,23396.804671,178204158.39968467,321734.0,13038.958337,99303699.20240831
2018-06-09,19339.885176,147171153.412775,278971.0,10653.462123,81075317.67777646
2018-06-10,52342.020032,367338754.56308055,471088.0,25976.246666,182618941.7599088
2018-06-11,34552.162303,233056682.85777125,203442.0,18716.667057,126255580.927273
2018-06-12,36722.211191,245787800.8012235,224658.0,19299.735508,129341137.97553147
2018-06-13,46185.5181,295395681.6623412,266517.0,25367.243359,162375277.43848026
2018-06-14,44478.130837,289074808.7841299,256384.0,23838.218565,154927680.45566282
